Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Al As 
      0.47000      0.11389      0.07587      0.03801
      0.48000      0.07426      0.04932      0.02494
      0.49000      0.05152      0.03393      0.01759
      0.50000      0.10687      0.07006      0.03681
      0.51000      0.14723      0.09662      0.05061
      0.52000      0.08447      0.05550      0.02897
      0.53000      0.01960      0.01289      0.00671
      0.54000      0.00376      0.00248      0.00127
      0.55000      0.01824      0.01210      0.00615
      0.56000      0.06328      0.04198      0.02129
      0.57000      0.09672      0.06434      0.03238
      0.58000      0.09943      0.06654      0.03289
      0.59000      0.07876      0.05289      0.02587
      0.60000      0.04437      0.02968      0.01468
      0.61000      0.06621      0.04404      0.02217
      0.62000      0.11343      0.07596      0.03747
      0.63000      0.11490      0.07784      0.03706
      0.64000      0.06597      0.04502      0.02095
      0.65000      0.02873      0.01940      0.00933
      0.66000      0.08408      0.05574      0.02834
      0.67000      0.21117      0.14002      0.07115
      0.68000      0.20018      0.13284      0.06734
      0.69000      0.07084      0.04704      0.02379
      0.70000      0.02068      0.01370      0.00698
      0.71000      0.07975      0.05264      0.02711
      0.72000      0.20739      0.13675      0.07064
      0.73000      0.22543      0.14868      0.07675
      0.74000      0.18676      0.12373      0.06303
      0.75000      0.22925      0.15155      0.07770
      0.76000      0.19485      0.12821      0.06663
      0.77000      0.15030      0.09911      0.05119
      0.78000      0.16881      0.11169      0.05712
      0.79000      0.15798      0.10287      0.05511
      0.80000      0.21006      0.13279      0.07726
      0.81000      0.26571      0.16916      0.09655
      0.82000      0.25714      0.16940      0.08774
      0.83000      0.19777      0.13356      0.06422
      0.84000      0.12659      0.08664      0.03995
      0.85000      0.11449      0.07752      0.03697
      0.86000      0.12967      0.08304      0.04663
      0.87000      0.14574      0.09110      0.05465
      0.88000      0.14084      0.09095      0.04988
      0.89000      0.17160      0.11457      0.05703
      0.90000      0.22938      0.15351      0.07587
      0.91000      0.16048      0.10672      0.05377
      0.92000      0.07796      0.05173      0.02623
      0.93000      0.14004      0.09390      0.04615
      0.94000      0.24832      0.16794      0.08038
      0.95000      0.28758      0.19638      0.09120
      0.96000      0.33433      0.22801      0.10632
      0.97000      0.35228      0.23864      0.11364
      0.98000      0.28074      0.18985      0.09089
      0.99000      0.19782      0.13327      0.06456
      1.00000      0.17660      0.11773      0.05887
      1.01000      0.25236      0.16970      0.08265
      1.02000      0.38498      0.26215      0.12283
      1.03000      0.45019      0.30769      0.14250
      1.04000      0.41462      0.28031      0.13431
      1.05000      0.33300      0.22114      0.11187
      1.06000      0.21783      0.14378      0.07405
      1.07000      0.10735      0.06900      0.03835
      1.08000      0.12274      0.07541      0.04734
      1.09000      0.31941      0.20681      0.11259
      1.10000      0.51670      0.34506      0.17165
      1.11000      0.45015      0.30530      0.14485
      1.12000      0.30419      0.20667      0.09752
      1.13000      0.33318      0.22654      0.10664
      1.14000      0.43271      0.29588      0.13683
      1.15000      0.32406      0.22289      0.10116
      1.16000      0.18603      0.12830      0.05773
      1.17000      0.29380      0.20094      0.09286
      1.18000      0.50655      0.34381      0.16274
      1.19000      0.52549      0.35648      0.16901
      1.20000      0.43268      0.29849      0.13419
      1.21000      0.42353      0.29693      0.12660
      1.22000      0.46786      0.32726      0.14060
      1.23000      0.51965      0.35929      0.16037
      1.24000      0.46493      0.31999      0.14494
      1.25000      0.34992      0.24180      0.10813
      1.26000      0.28506      0.19710      0.08796
      1.27000      0.26273      0.18213      0.08060
      1.28000      0.26249      0.18365      0.07883
